,SLM (OLS),NEAT,SGA,SVM,MLP,SLM (Ensemble),RF
0,0.4103051083781486,0.4049791553647864,0.3799445313817711,0.43588989435406733,0.3794733192202055,0.352578848399613,0.27568097504180444
1,0.4201871003446395,0.4143548292113294,0.3943358425183495,0.45166359162544856,0.29325756597230357,0.4116291833504977,0.4219004621945797
2,0.39930304106487596,0.5426288825641269,0.3917074855227531,0.044721359549995794,0.48166378315169184,0.3660717547507845,0.1414213562373095
3,0.4029107521183158,0.41357919538936255,0.4040861458707,0.41952353926806063,0.5603570290448759,0.4113088820745183,0.41231056256176607
4,0.397712785962899,0.5114461741246948,0.4054482198850734,0.3687817782917155,0.4979959839195493,0.37316475043161274,0.1341640786499874
5,0.39500655256903594,0.4086665793361127,0.4122360568514152,0.35496478698597694,0.37416573867739417,0.2850895073676701,0.39749213828703583
6,0.39601700171604376,0.45107063162711336,0.3771651981871065,0.31304951684997057,0.4171330722922842,0.3618725222044381,0.18439088914585774
7,0.425263741329916,0.4060161349020015,0.4008221703167179,0.40249223594996214,0.4219004621945797,0.4153510109912121,0.4049691346263318
8,0.3921759410361318,0.3823122818889447,0.3738910347850405,0.0,0.37682887362833545,0.27073308007381147,0.1414213562373095
9,0.38546078311226273,0.3939327570583693,0.37687286014490123,0.27568097504180444,0.4404543109109048,0.3949311693720928,0.161245154965971
10,0.32362724913932617,0.3942787433220915,0.3794127934566224,0.36606010435446257,0.4669047011971501,0.3913709477375508,0.4381780460041329
11,0.358914354035286,0.4814551241003552,0.3807087924846439,0.4626013402488151,0.47958315233127197,0.3538677520934863,0.3714835124201342
12,0.2777854868165733,0.483862925366384,0.3777824607752004,0.4604345773288535,0.45607017003965516,0.27695323552445256,0.17888543819998318
13,0.4455448249255143,0.4174268740050978,0.3841926264268214,0.3794733192202055,0.38987177379235854,0.3876528383626484,0.4242640687119285
14,0.4056256390278741,0.39542667566674267,0.40480558758738366,0.4626013402488151,0.4604345773288535,0.34047609521204997,0.260768096208106
15,0.400353053598961,0.3918389809707281,0.3826893748222843,0.35496478698597694,0.39496835316262996,0.3562317114562375,0.19493588689617927
16,0.3993610147358059,0.4085299326951921,0.4008597051405481,0.24899799195977465,0.5019960159204453,0.3722579969971381,0.18439088914585774
17,0.4025039564295237,0.4213413963367106,0.415085494931717,0.31937438845342625,0.3255764119219941,0.27944298812203155,0.2863564212655271
18,0.39814254909804286,0.45128396365265483,0.4106628822639822,0.4404543109109048,0.40249223594996214,0.35772337779704844,0.17888543819998318
19,0.406144949099434,0.4072431810203389,0.39778516699407424,0.458257569495584,0.458257569495584,0.3553834649568887,0.30331501776206204
20,0.40478235718034156,0.467106972515536,0.383677900501261,0.4171330722922842,0.40987803063838396,0.37472802984279524,0.45607017003965516
21,0.38710035657389547,0.48066116971543327,0.3888581191248973,0.3286335345030997,0.4979959839195493,0.40363488398965675,0.2720294101747089
22,0.3417443391155822,0.4070820573043828,0.3863710216803593,0.4604345773288535,0.3872983346207417,0.2814951053949304,0.4049691346263318
23,0.4143781456950334,0.4820844338286298,0.4005311782380339,0.36055512754639896,0.4919349550499537,0.30921733001396656,0.282842712474619
24,0.4138777737502882,0.40542324836175725,0.39817661414154004,0.48166378315169184,0.4049691346263318,0.40132511803840654,0.2792848008753788
25,0.39633165344353705,0.412339771947144,0.3868002013642735,0.47116875957558985,0.458257569495584,0.35873608755107983,0.161245154965971
26,0.4196094841343719,0.3795774940240844,0.3681856929569615,0.4381780460041329,0.433589667773576,0.3881861983573185,0.2645751311064591
27,0.4076505022755934,0.4736920747014622,0.3862354259836116,0.44944410108488464,0.37416573867739417,0.3521079538375523,0.28982753492378877
28,0.38146104001114517,0.41251809636523606,0.39198955184719353,0.4427188724235731,0.4472135954999579,0.3415346886010631,0.40987803063838396
29,0.39190468523807914,0.40513350193328357,0.39414258520330714,0.4878524367060187,0.4898979485566356,0.3976376707346448,0.4
