,MLP Simple Ensemble,MLP Bagging Ensemble,MLP Boosting Ensemble (Median + FLR),MLP Boosting Ensemble (Median + RLR),MLP Boosting Ensemble (Mean + FLR),MLP Boosting Ensemble (Mean + RLR)
0,0.7857142857142857,0.7924528301886793,0.7884097035040432,0.7776280323450134,0.7870619946091644,0.7857142857142857
1,0.793800539083558,0.807277628032345,0.8045822102425876,0.7978436657681941,0.7991913746630728,0.8005390835579514
2,0.8126684636118598,0.8194070080862533,0.8207547169811321,0.8207547169811321,0.8234501347708895,0.8140161725067385
3,0.7857142857142857,0.7897574123989218,0.7924528301886793,0.7897574123989218,0.7870619946091644,0.793800539083558
4,0.8018867924528302,0.8140161725067385,0.8018867924528302,0.807277628032345,0.8059299191374663,0.8099730458221024
5,0.7803234501347709,0.7789757412398922,0.7803234501347709,0.7776280323450134,0.7830188679245284,0.7776280323450134
6,0.7749326145552561,0.7695417789757413,0.77088948787062,0.7722371967654986,0.7803234501347709,0.7735849056603774
7,0.784366576819407,0.7816711590296496,0.7870619946091644,0.7991913746630728,0.7897574123989218,0.7830188679245284
8,0.7870619946091644,0.7884097035040432,0.7830188679245284,0.7911051212938005,0.7857142857142857,0.7870619946091644
9,0.7884097035040432,0.7964959568733153,0.7911051212938005,0.7857142857142857,0.7897574123989218,0.7951482479784366
10,0.7830188679245284,0.7776280323450134,0.7830188679245284,0.784366576819407,0.784366576819407,0.7789757412398922
11,0.8032345013477089,0.8099730458221024,0.8153638814016172,0.8113207547169812,0.8180592991913747,0.8153638814016172
12,0.7789757412398922,0.7735849056603774,0.784366576819407,0.7830188679245284,0.7749326145552561,0.7803234501347709
13,0.7897574123989218,0.8045822102425876,0.8045822102425876,0.8059299191374663,0.7964959568733153,0.7991913746630728
14,0.7776280323450134,0.7803234501347709,0.7830188679245284,0.7749326145552561,0.7816711590296496,0.77088948787062
15,0.7722371967654986,0.7789757412398922,0.7695417789757413,0.761455525606469,0.7789757412398922,0.7776280323450134
16,0.8436657681940701,0.8706199460916442,0.876010781671159,0.866576819407008,0.8611859838274932,0.8692722371967655
17,0.7830188679245284,0.7884097035040432,0.784366576819407,0.7951482479784366,0.7884097035040432,0.784366576819407
18,0.8059299191374663,0.8247978436657682,0.8261455525606469,0.8328840970350404,0.8234501347708895,0.8153638814016172
19,0.7870619946091644,0.8032345013477089,0.8194070080862533,0.8126684636118598,0.8099730458221024,0.8113207547169812
20,0.7819650067294751,0.7819650067294751,0.784656796769852,0.7765814266487214,0.7806191117092867,0.7860026917900403
21,0.7765814266487214,0.7792732166890982,0.7725437415881561,0.7765814266487214,0.7819650067294751,0.7765814266487214
22,0.784656796769852,0.7833109017496636,0.784656796769852,0.784656796769852,0.7779273216689099,0.7833109017496636
23,0.7685060565275909,0.7671601615074024,0.7725437415881561,0.7698519515477793,0.7685060565275909,0.7779273216689099
24,0.7779273216689099,0.7900403768506057,0.7900403768506057,0.7913862718707941,0.7819650067294751,0.7819650067294751
25,0.7806191117092867,0.7765814266487214,0.7806191117092867,0.784656796769852,0.7765814266487214,0.7765814266487214
26,0.7927321668909825,0.8129205921938089,0.8277254374158816,0.8236877523553163,0.8209959623149394,0.8209959623149394
27,0.7860026917900403,0.8102288021534321,0.8398384925975774,0.8277254374158816,0.8344549125168237,0.8277254374158816
28,0.6505376344086021,0.6505376344086021,0.6505376344086021,0.6505376344086021,0.6505376344086021,0.6505376344086021
29,0.7849462365591398,0.7916666666666666,0.7983870967741935,0.7943548387096774,0.7970430107526881,0.793010752688172
