,XCS
0,"{'accuracy_coefficient': 0.5778298262491087, 'accuracy_power': 0, 'crossover_probability': 0.3470265921559287, 'deletion_threshold': 11, 'discount_factor': 0.6559985868151248, 'do_action_set_subsumption': True, 'do_ga_subsumption': True, 'error_threshold': 0.9355500244217915, 'exploration_probability': 0.5847551411594345, 'exploration_strategy': None, 'fitness_threshold': 0.42792723173032776, 'ga_threshold': 20, 'idealization_factor': 0, 'initial_error': 4.324218900555908, 'initial_fitness': 2.4056261253772533, 'initial_prediction': 4.103979561375171, 'learning_rate': 0.335271738581727, 'max_population_size': 87, 'minimum_actions': 5, 'mutation_probability': 0.5313909201204704, 'subsumption_threshold': 5, 'wildcard_probability': 0.2868743185734256}"
1,"{'accuracy_coefficient': 0.0012328208930157958, 'accuracy_power': 5, 'crossover_probability': 0.34888805267226797, 'deletion_threshold': 0, 'discount_factor': 0.9951086743940537, 'do_action_set_subsumption': True, 'do_ga_subsumption': False, 'error_threshold': 0.7912591417267102, 'exploration_probability': 0.8482759391994444, 'exploration_strategy': None, 'fitness_threshold': 0.763527128175716, 'ga_threshold': 22, 'idealization_factor': 0, 'initial_error': 2.380865958144863, 'initial_fitness': 0.23080032209655266, 'initial_prediction': 1.2537001975275492, 'learning_rate': 0.2936667483587255, 'max_population_size': 159, 'minimum_actions': 7, 'mutation_probability': 0.709011479907843, 'subsumption_threshold': 17, 'wildcard_probability': 0.07531833834290202}"
2,"{'accuracy_coefficient': 0.9254536100470531, 'accuracy_power': 3, 'crossover_probability': 0.012880005360959235, 'deletion_threshold': 4, 'discount_factor': 0.7880368908812838, 'do_action_set_subsumption': False, 'do_ga_subsumption': True, 'error_threshold': 0.08285784787992789, 'exploration_probability': 0.22274310907741857, 'exploration_strategy': None, 'fitness_threshold': 0.222869063544473, 'ga_threshold': 7, 'idealization_factor': 0, 'initial_error': 2.981442257930248, 'initial_fitness': 2.207013773288207, 'initial_prediction': 0.8058920116195184, 'learning_rate': 0.24274330672390276, 'max_population_size': 113, 'minimum_actions': 2, 'mutation_probability': 0.8463913461793949, 'subsumption_threshold': 17, 'wildcard_probability': 0.5565148867695721}"
3,"{'accuracy_coefficient': 0.6947008644999881, 'accuracy_power': 4, 'crossover_probability': 0.08784467022653586, 'deletion_threshold': 12, 'discount_factor': 0.9709148048427482, 'do_action_set_subsumption': False, 'do_ga_subsumption': True, 'error_threshold': 0.35401594740734144, 'exploration_probability': 0.6427678099240445, 'exploration_strategy': None, 'fitness_threshold': 0.08345834057426826, 'ga_threshold': 23, 'idealization_factor': 0, 'initial_error': 4.394256729800558, 'initial_fitness': 3.782025508014237, 'initial_prediction': 1.2552782674361302, 'learning_rate': 0.21157542789779152, 'max_population_size': 163, 'minimum_actions': 9, 'mutation_probability': 0.3853657437446901, 'subsumption_threshold': 11, 'wildcard_probability': 0.3630356563295043}"
4,"{'accuracy_coefficient': 0.8616243690302667, 'accuracy_power': 5, 'crossover_probability': 0.05799004888048842, 'deletion_threshold': 9, 'discount_factor': 0.023227476939057246, 'do_action_set_subsumption': True, 'do_ga_subsumption': False, 'error_threshold': 0.9499466298278803, 'exploration_probability': 0.2811902653951235, 'exploration_strategy': None, 'fitness_threshold': 0.6523688089895994, 'ga_threshold': 19, 'idealization_factor': 0, 'initial_error': 3.316404630129922, 'initial_fitness': 1.3464735337603617, 'initial_prediction': 2.320976662792334, 'learning_rate': 0.25689349575694714, 'max_population_size': 65, 'minimum_actions': 5, 'mutation_probability': 0.7865374978053297, 'subsumption_threshold': 1, 'wildcard_probability': 0.09584370270873299}"
5,"{'accuracy_coefficient': 0.17001319302984175, 'accuracy_power': 3, 'crossover_probability': 0.7979186392362753, 'deletion_threshold': 20, 'discount_factor': 0.7129739369966612, 'do_action_set_subsumption': False, 'do_ga_subsumption': True, 'error_threshold': 0.2732414938796919, 'exploration_probability': 0.4147710202868292, 'exploration_strategy': None, 'fitness_threshold': 0.9289261660593623, 'ga_threshold': 31, 'idealization_factor': 0, 'initial_error': 4.79603876789842, 'initial_fitness': 1.1918775564492823, 'initial_prediction': 1.7200848100819717, 'learning_rate': 0.3649063868839172, 'max_population_size': 40, 'minimum_actions': 2, 'mutation_probability': 0.8777558674944982, 'subsumption_threshold': 17, 'wildcard_probability': 0.9674542623004939}"
6,"{'accuracy_coefficient': 0.09493440521744378, 'accuracy_power': 1, 'crossover_probability': 0.5363189059690678, 'deletion_threshold': 20, 'discount_factor': 0.08641565409657803, 'do_action_set_subsumption': True, 'do_ga_subsumption': True, 'error_threshold': 0.5162425407645149, 'exploration_probability': 0.7327958733320414, 'exploration_strategy': None, 'fitness_threshold': 0.6979971868105983, 'ga_threshold': 3, 'idealization_factor': 0, 'initial_error': 1.370047806904164, 'initial_fitness': 2.6903655633006194, 'initial_prediction': 2.958239743732066, 'learning_rate': 0.7076273790809561, 'max_population_size': 30, 'minimum_actions': 4, 'mutation_probability': 0.20405563968413998, 'subsumption_threshold': 17, 'wildcard_probability': 0.3436163229557392}"
7,"{'accuracy_coefficient': 0.9870799586599953, 'accuracy_power': 1, 'crossover_probability': 0.36850936474303975, 'deletion_threshold': 5, 'discount_factor': 0.1886460178849505, 'do_action_set_subsumption': False, 'do_ga_subsumption': False, 'error_threshold': 0.7228879022065964, 'exploration_probability': 0.47205812012942505, 'exploration_strategy': None, 'fitness_threshold': 0.09960488675429002, 'ga_threshold': 12, 'idealization_factor': 0, 'initial_error': 1.596506915967872, 'initial_fitness': 1.7403023332193879, 'initial_prediction': 0.08633538519341954, 'learning_rate': 0.649112902662871, 'max_population_size': 146, 'minimum_actions': 5, 'mutation_probability': 0.7305471310237532, 'subsumption_threshold': 17, 'wildcard_probability': 0.24179665048892585}"
8,"{'accuracy_coefficient': 0.8384942869906581, 'accuracy_power': 0, 'crossover_probability': 0.6318208803607971, 'deletion_threshold': 1, 'discount_factor': 0.5433523857758851, 'do_action_set_subsumption': False, 'do_ga_subsumption': False, 'error_threshold': 0.042017331234554756, 'exploration_probability': 0.9029748050555756, 'exploration_strategy': None, 'fitness_threshold': 0.8086300594176975, 'ga_threshold': 6, 'idealization_factor': 0, 'initial_error': 1.7369624564011583, 'initial_fitness': 2.480475531882874, 'initial_prediction': 2.2891135840749444, 'learning_rate': 0.022629285027842925, 'max_population_size': 44, 'minimum_actions': 9, 'mutation_probability': 0.06129739692109559, 'subsumption_threshold': 17, 'wildcard_probability': 0.5385454685668986}"
9,"{'accuracy_coefficient': 0.07471043405316546, 'accuracy_power': 1, 'crossover_probability': 0.7395356759596142, 'deletion_threshold': 7, 'discount_factor': 0.3900225936773837, 'do_action_set_subsumption': False, 'do_ga_subsumption': True, 'error_threshold': 0.6181492294738339, 'exploration_probability': 0.040367048320273935, 'exploration_strategy': None, 'fitness_threshold': 0.16876603645050126, 'ga_threshold': 25, 'idealization_factor': 0, 'initial_error': 2.3803777953664436, 'initial_fitness': 2.131755473200684, 'initial_prediction': 0.707246064724239, 'learning_rate': 0.3764932164063137, 'max_population_size': 74, 'minimum_actions': 1, 'mutation_probability': 0.6567217400503199, 'subsumption_threshold': 19, 'wildcard_probability': 0.846707915150757}"
