,MLP (SGD)
0,0.02372207861906889
1,0.02723174568661148
2,0.4705771282441917
3,0.43537400054458764
4,0.2906846147278339
5,0.3346717976043072
6,0.6097684323259264
7,0.573726311764783
8,0.9258111171226211
9,0.014128640860443069
10,0.21491171772455142
11,0.3681722893603076
12,0.20108412072115436
13,0.8051473462028286
14,0.36840112925544766
15,0.28229599792564675
16,0.8032871273383
17,0.35328798819880197
18,0.0925024156845921
19,0.4705521620930532
20,0.35575915645376754
21,0.052607948738692366
22,0.08363498774775581
23,0.478547698716276
24,0.26991127579864516
25,0.018979553055362388
26,0.5560103574650296
27,0.10485743419043646
28,0.44645085070509055
29,0.02688772158558545
