,Simple Ensemble,Bagging Ensemble,Boosting Ensemble (Median + FLR),Boosting Ensemble (Median + RLR),Boosting Ensemble (Mean + FLR),Boosting Ensemble (Mean + RLR)
0,0.5189947048939626,0.5432519195028493,1.5034757968543122,1.2692331701287167,,0.5693831490849031
1,0.7581367275744526,0.7580566798916367,0.7579134297544813,0.7588771224749578,0.762094872531481,0.767502324827622
2,0.7471363772939484,0.7847866652517418,0.7242605274266813,0.7792045739463895,0.7934426103729229,0.7762386469845232
3,0.715811526287336,0.7114011237690786,0.8039256646760808,0.7398076987023867,0.7582986604556451,0.7221382253330436
4,0.7217687366256635,0.7209117158041932,0.7971744603506862,0.770554729824966,0.8422937657265774,2.391280668033967e+65
5,0.6886208142169243,0.6658447721622542,0.7112513919188049,0.6896614271195322,0.7031466493680029,0.6918386062229911
6,0.7590450986263841,0.7654320268500888,0.7734235438341843,0.7614001877924887,0.7721624381478617,0.757694506784944
7,0.6862074162336381,0.603521824828761,0.531596897784939,0.6351106628099024,0.6279309968631976,0.46628894472965987
8,,,7.185912642101761e+42,inf,,
9,0.7737767210106108,1.0649910606149606,1.293777465518509,0.7906512517299291,4.633771864556975,0.801142953999074
10,0.6948628446357684,0.7223490643902936,0.5511679035623632,0.6403601344651073,0.6120376835771663,0.5584046752721358
11,0.7744451300754132,0.7743550562100756,0.7743334304351882,0.7746837117463671,0.7742493014596388,0.7863949253507921
12,0.5531785707553893,0.5612002577140472,0.7269051412621423,0.6240464460678906,0.7208825496051465,0.6530422818472817
13,0.7731284073558885,0.7758697648674737,0.771959020184571,0.7730855051545653,0.8055424635018702,0.7894273158886981
14,0.7414458222679426,0.7008843965922812,0.8007469760638262,0.722104654101119,0.803374553801892,0.6969377966247435
15,0.7717721045871924,0.7717412771212223,0.7708909502931612,0.7713291548015873,0.7735386174572219,0.7752402852074607
16,0.6798755592336346,0.6046490756864189,2.5477242306837358,0.631513766699706,,0.5990996163229592
17,0.6582920991407497,0.5678544913915995,0.6994909633452976,0.6420419883960689,0.7172856862781276,0.6566961648923848
18,0.39149316363701187,0.4706665455611227,0.5711235893515849,0.4814652046182761,4.038375997076675e+27,9.552524729242516e+25
19,0.674912792939985,0.6629390281880028,0.685892795296193,0.6591739965670318,0.7479704564947613,0.666441251715806
20,0.7685491720681655,0.7514436128020245,0.6830032291927687,0.7675613447922123,0.753051997934617,0.7417732087508027
21,0.7820729948454564,0.7825294973251276,0.7840515088889899,0.7852872063325146,0.794910808934544,0.7820410909411957
22,2213587558639.6504,0.7603874801399148,0.7753297527719566,0.7745442939022458,0.8340523301013765,0.7646409722874611
23,0.6344935806532176,0.6112479712559531,0.7987357761489525,0.7052461689777126,0.6739604473595254,0.6613366292613613
24,,,0.7378723703696631,0.7844310510376539,,
25,0.6785617642536327,0.6787784704897669,0.7101908016373037,0.7182890924007531,0.7282701072475849,0.7107417088571729
26,0.7692636874262994,0.7690415519696422,0.7689166910387226,0.7718189576140456,0.7903017181780129,0.7689259397774492
27,0.5547218195754465,0.5574637910605106,0.6844532004051896,0.5781002680628703,0.7267584471664009,0.6400916487788397
28,0.7710411894449428,0.7739928975678545,0.7707917666351377,0.7715901641849211,0.792259458938592,0.7846339878558827
29,0.7668249460295071,0.7651122581355445,0.767215901692501,0.7654295361307109,0.7867617570778399,0.7744945025448647
