,"SLM (BLS) + TIE, SLM (BLS) + EDV","SLM (OLS), SLM (OLS) + RST, SLM (OLS) + RWT","SLM (BLS), SLM (BLS) + RST, SLM (BLS) + RWT",SLM (OLS) + EDV
0,396,27010,3554,245
1,214,65708,17028,239
2,257,6668,20515,90
3,224,186172,2753,250
4,224,75328,4227,162
5,332,364376,41588,89
6,3667,163114,8560,43
7,75,16794,2586,50
8,202,10078,12684,274
9,224,285095,15926,199
10,388,11500,40307,156
11,271,21279,3643,359
12,211,262098,16174,61
13,86,583461,9204,117
14,126,3386,101356,123
15,160,252771,960,167
16,435,98343,4350,282
17,213,414321,4369,402
18,183,147183,2200,170
19,64,10229,12625,91
20,27,18539,5204,232
21,54,15022,12773,116
22,82,13517,28363,66
23,234,14262,3879,75
24,323,472577,5131,157
25,497,75557,4259,82
26,666,10176,982,59
27,142,692222,945,77
28,405,488174,63585,73
29,122,6141,11243,74
